Product ID (#),Name,$ Price:,Quantity,Category,Description,Production Date (DD/MM/YYYY),Expiration Date (DD/MM/YYYY),Rating:,Status
99,Пакеты для спортивного инвентаря,778,247,Товары для дома,Отвечает всем современным стандартам качества и безопасности.,2006-05-21,2027-06-10,3.65,Delivered
100,Черника,522,934,Фрукты,"Подходит для людей всех возрастов, включая детей и пожилых.",1992-04-01,2000-01-22,2.01,Delivered
101,Панчетта,4356,693,Мясо,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2016-04-18,2026-06-06,0.02,On Backorder
102,Полотенца для рук,6573,780,Товары для дома,Подходит для использования в рецептах традиционной кухни разных стран.,2021-07-09,2030-03-01,4.52,Delivered
103,Орловская,2701,403,Напитки,"Отличается высоким содержанием рибофлавина, необходимого для здоровья кожи и зрения.",2001-01-01,2023-01-17,4.96,Out of Stock
104,Сок ананасовый,601,737,Напитки,"Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.",2019-02-04,2023-05-03,0.07,Available for Pickup
105,Индюшатина,6008,34,Мясо,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2004-01-06,2019-10-06,0.78,Awaiting Payment
106,Томская,5278,320,Напитки,Помогает поддерживать нормальный уровень тестостерона у мужчин.,1995-06-04,2013-06-01,2.95,In Stock
107,Яблоко,9405,867,Фрукты,Помогает улучшить работу мозга и повысить концентрацию внимания.,2015-02-02,2027-07-18,3.41,Cancelled
108,Пакеты для спортивного инвентаря,3307,618,Товары для дома,Подходит для использования в качестве основы для смузи и коктейлей.,2013-02-02,2022-02-03,1.09,On Backorder
109,Открывалка для бутылок,9062,983,Товары для дома,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",2021-08-14,2022-06-02,1.3,Available for Pickup
110,Шашлык,8371,572,Мясо,Помогает сохранять бодрость и активность в течение дня.,1994-03-08,2028-06-02,4.44,Refunded
111,Черника,4184,223,Фрукты,Помогает поддерживать нормальный уровень холестерина в крови.,1991-02-08,2020-04-17,0.67,Shipping
112,Карачинская,3514,943,Напитки,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",2004-06-16,2021-09-01,1.07,Backorder
113,Цукини,4702,885,Овощи,"Отличается высоким содержанием ниацина, необходимого для здоровья кожи и пищеварения.",2003-03-06,2023-09-01,2.79,Backorder
114,Лопатка,4597,769,Мясо,"Помогает поддерживать нормальный уровень серотонина, гормона счастья.",1991-01-01,2010-02-09,0.47,Delivered
115,Говядина,2037,44,Мясо,Помогает поддерживать нормальный уровень холестерина в крови.,2000-03-04,2014-04-20,4.31,Returned
116,Слива,4340,84,Фрукты,Является важным компонентом сбалансированного рациона питания.,2019-07-03,2020-01-09,1.57,New
117,Газированная вода,131,476,Напитки,Помогает поддерживать нормальный уровень глюкозы в крови.,2009-01-13,2024-03-03,2.74,Returned
118,Мандарин,1530,471,Фрукты,"Отличается высоким содержанием биотина, необходимого для здоровья волос, кожи и ногтей.",2009-01-13,2025-02-12,1.25,Sold
119,Сырой арахис,417,732,Бакалея,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,2018-01-11,2024-02-05,2.51,Backorder
120,Пакеты для микроволновки,8584,17,Товары для дома,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",1993-03-05,2022-01-03,0.67,Out of Stock
121,Смородина,234,6,Фрукты,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2021-02-01,2023-02-26,1.74,Sold
122,Пакеты для косметики,8012,526,Товары для дома,"Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.",1997-05-05,2003-01-03,0.14,Available for Pickup
123,Гранат,8314,99,Фрукты,Помогает снизить риск развития сердечно-сосудистых заболеваний.,2016-02-06,2021-01-10,3.43,On Backorder
124,Родники Алтая,3373,155,Напитки,"Отличается высоким содержанием лютеолина, флавоноида, обладающего противовоспалительными свойствами.",2011-01-03,2028-02-02,1.81,Shipping
125,Каша из теффа,8778,976,Бакалея,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",1995-02-12,2028-02-02,1.76,Shipping
126,Груша,2214,132,Фрукты,Отличается высокой питательностью и способен быстро утолить голод.,2000-01-11,2001-06-20,0.03,Delivered
127,Ямс,7432,251,Овощи,Помогает поддерживать нормальный уровень холестерина в крови.,2005-04-02,2030-01-01,2.61,In Stock
128,Камамбер,3881,530,Молочные продукты,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",1992-01-05,1997-04-04,1.52,On Backorder
129,Огурец,1434,671,Овощи,Отличается высокой питательностью и способен быстро утолить голод.,1991-04-15,2017-01-28,0.26,Temporarily Unavailable
130,Мацони,8240,691,Молочные продукты,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,2014-07-06,2018-03-04,0.74,Cancelled
131,Творог,5557,194,Молочные продукты,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2020-07-07,2025-01-14,1.8,On Backorder
132,Сливки,8081,926,Молочные продукты,Может быть использован в выпечке для придания ей особой пышности и аромата.,2011-01-05,2028-02-10,0.37,On Backorder
133,Сэндвичи с ветчиной,7981,636,Мясо,Помогает поддерживать нормальный уровень pH в организме.,2015-03-03,2022-02-02,2.02,Returned
134,Сердце,530,813,Мясо,Помогает предотвратить дефицит витаминов и минералов в организме.,1995-10-12,2019-02-08,0.69,Cancelled
135,Пакеты для Всемирного дня воды,4780,457,Товары для дома,Прошел проверку на соответствие экологическим нормам и стандартам.,2002-03-05,2029-04-03,2.69,New
136,Чай зеленый,9639,94,Напитки,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",1997-02-19,2001-01-16,4.08,Out of Stock
137,Бумажные полотенца,7141,453,Товары для дома,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2020-09-09,2022-07-10,0.38,Pending
138,Сливки,5927,791,Молочные продукты,Помогает поддерживать нормальный уровень гомоцистеина в крови.,2003-01-07,2003-02-05,1.47,Awaiting Payment
139,Моющее средство для посуды,3683,411,Товары для дома,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,2020-09-05,2022-04-05,0.63,Pending
140,Кефир,8173,557,Молочные продукты,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",2000-07-07,2012-01-02,4.31,Returned
141,Каша из дробленного пшена,3301,639,Бакалея,Является важным компонентом рациона для поддержания гормонального баланса.,2019-08-02,2025-02-07,2.67,Awaiting Review
142,Карбонад,5031,228,Мясо,"Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.",1993-01-16,2011-01-18,3.36,Shipping
143,Помидор,8296,213,Овощи,"Помогает поддерживать нормальный уровень куркумина, вещества, обладающего противовоспалительными и антиоксидантными свойствами.",2013-02-08,2017-01-18,3.04,Backorder
144,Камамбер,3975,619,Молочные продукты,"Отличается высоким содержанием рибофлавина, необходимого для здоровья кожи и зрения.",2015-04-09,2017-12-05,4.04,Available for Pickup
145,Чечевица,4016,615,Овощи,Придает блюдам особую нежность и насыщенность.,2003-01-03,2014-03-19,2.7,Refunded
146,Киви,8378,819,Фрукты,"Отличается высоким содержанием тиамина, необходимого для нормального функционирования нервной системы.",1997-01-01,2024-01-20,3.98,New
147,Ласси,9826,295,Молочные продукты,"Имеет низкий гликемический индекс, что делает его безопасным для диабетиков.",1991-03-14,1994-03-04,2.93,Awaiting Payment
148,Амарант крупа,3366,68,Бакалея,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,2011-03-04,2027-01-10,0.49,On Backorder
149,Шелковица,1387,351,Фрукты,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",1991-01-04,1991-04-01,2.28,Refunded
150,Клубника,6822,919,Фрукты,"Отличается высоким содержанием глютамина, необходимого для восстановления мышц после физических нагрузок.",2005-01-08,2028-07-01,0.17,New
151,Ямс,6336,42,Овощи,Помогает поддерживать нормальный уровень холестерина в крови.,2013-06-05,2024-02-17,4.99,Out of Stock
152,Курт,1245,66,Молочные продукты,"Отличается высоким содержанием коэнзима Q10, необходимого для выработки энергии в клетках.",2000-02-01,2012-01-07,3.4,New
153,Салями,6736,582,Мясо,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",1999-05-02,2030-01-05,4.55,Awaiting Payment
154,Пакеты для инструментов,6611,900,Товары для дома,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2003-02-01,2022-02-06,0.63,Returned
155,Баклажан,8539,882,Овощи,Отличается стабильностью вкуса и качества в течение всего срока хранения.,1998-05-02,2030-01-04,0.95,Temporarily Unavailable
156,Сибирская,3814,407,Напитки,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",2000-08-12,2003-11-08,0.07,Available for Pickup
157,Пакеты для лекарств,6473,180,Товары для дома,"Отличается высоким содержанием кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2000-05-15,2004-01-09,4.16,Refunded
158,Каймак,9380,998,Молочные продукты,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2012-05-13,2030-03-01,2.48,Awaiting Payment
159,Шампунь,1821,501,Товары для дома,Подходит для использования в диетических программах для похудения.,1993-06-01,2016-01-08,4.56,Awaiting Payment
160,Сок апельсиновый,2344,901,Напитки,"Помогает поддерживать нормальный уровень серотонина, гормона счастья.",2009-01-23,2016-04-20,2.3,In Stock
161,Растительное масло кукурузное,8234,859,Бакалея,"Отличается высоким содержанием коэнзима Q10, необходимого для выработки энергии в клетках.",2003-08-15,2022-10-01,4.77,New
162,Парфюм,941,287,Товары для дома,Придает блюдам особую нежность и насыщенность.,2013-01-12,2027-02-02,4.22,Returned
163,Тыква,5989,243,Овощи,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,1999-03-15,2009-02-24,1.17,Shipping
164,Тыква,1298,635,Овощи,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1996-04-09,2023-09-04,4.73,Pending
165,Кетчуп,6666,574,Бакалея,"Является источником важных нутриентов, необходимых для роста и развития детей.",2016-03-04,2018-02-15,0.77,Returned
166,Укроп,1338,336,Овощи,"Производится из высококачественного сырья, что гарантирует его безопасность и пользу для здоровья.",1991-08-03,2019-01-12,1.36,Available for Pickup
167,Кольраби,8562,48,Овощи,Прошел все необходимые сертификации и соответствует международным стандартам.,2011-05-06,2022-05-10,4.18,Awaiting Review
168,Айран,9860,820,Молочные продукты,"Имеет низкий гликемический индекс, что делает его безопасным для диабетиков.",2008-03-01,2018-03-10,2.9,Returned
169,Манго,7599,367,Фрукты,Отличается удобством использования и экономичностью в расходе.,2010-01-06,2029-02-04,1.06,Pending
170,Пакет для заморозки,4887,387,Товары для дома,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2011-01-08,2024-05-04,2.42,Awaiting Review
171,Бадьян,684,487,Бакалея,Отличается легкостью в переваривании и усвоении организмом.,2020-01-03,2029-03-02,1.11,New
172,Мука ржаная,8230,232,Бакалея,"Отличается длительным сроком годности, что позволяет делать запасы.",2000-09-20,2006-06-02,0.48,Available for Pickup
173,Российский сыр,9693,316,Молочные продукты,Прошел все необходимые сертификации и соответствует международным стандартам.,2019-08-08,2023-08-02,0.92,Backorder
174,Мята перечная сушеная,9417,204,Бакалея,"Помогает поддерживать нормальный уровень сапонинов, веществ, способствующих снижению уровня холестерина.",1991-01-06,2012-08-02,1.89,New
175,Ряженка,447,448,Молочные продукты,"Отличается высоким содержанием марганца, необходимого для здоровья костей и соединительных тканей.",1999-05-03,2004-06-17,0.23,In Stock
176,Burn,5260,839,Напитки,Помогает поддерживать нормальный уровень энергии и выносливости.,2010-03-12,2023-02-02,4.72,Awaiting Review
177,Одинцовская,5101,947,Напитки,"Помогает поддерживать нормальный уровень мелатонина, гормона сна.",2022-02-15,2026-02-13,4.49,In Stock
178,Смузи мангово-ананасовый,3005,845,Напитки,Прошел независимые лабораторные исследования и получил положительные отзывы экспертов.,2010-02-02,2025-06-17,2.24,Awaiting Payment
179,Каймак,2025,462,Молочные продукты,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",2010-07-03,2018-08-08,4.32,New
180,Курт,7687,194,Молочные продукты,"Отличается высоким содержанием биотина, необходимого для здоровья волос, кожи и ногтей.",2021-04-01,2027-07-09,2.8,Sold
181,Куриные субпродукты,5601,178,Мясо,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",2004-01-01,2010-02-04,0.32,Delivered
182,Брюква,6785,554,Овощи,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",1993-03-24,2015-01-20,4.34,Sold
183,Репа,5341,781,Овощи,Помогает нормализовать артериальное давление и уровень холестерина.,2000-03-04,2009-03-23,3.36,Available for Pickup
184,Полотенца кухонные,5571,455,Товары для дома,"Подходит для веганов и вегетарианцев, если произведен без использования животных компонентов.",2022-01-03,2030-01-07,1.49,In Stock
185,Марьинская,4314,837,Напитки,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",2012-11-06,2020-02-09,0.27,Pending
186,Творог,5970,471,Бакалея,Помогает поддерживать нормальный обмен веществ и метаболизм.,1998-04-01,2008-01-01,4.52,Pending
187,Сервелат,7522,957,Мясо,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2007-02-05,2028-11-01,2.73,Sold
188,Алуштинская,7353,419,Напитки,"Отличается высоким содержанием биотина, необходимого для здоровья волос, кожи и ногтей.",1996-05-11,1997-06-03,0.27,On Backorder
189,Бастурма,9148,334,Мясо,"Подходит для использования в диетах, направленных на снижение веса.",2000-02-01,2007-02-18,4.96,Backorder
190,Каша из проса,893,263,Бакалея,Является важным компонентом сбалансированного рациона питания.,1992-04-06,2002-11-03,2.91,Backorder
191,Сок яблочный,2561,393,Напитки,Отличается гипоаллергенностью и безопасностью для большинства людей.,1995-02-02,2017-03-03,3.45,Awaiting Payment
192,Спаржа,5075,816,Овощи,Прошел строгий контроль качества на всех этапах производства.,1993-04-22,2029-02-13,0.43,Awaiting Payment
193,Нектарин,7487,221,Фрукты,Отличается высокой степенью очистки и отсутствия посторонних примесей.,1994-02-16,2028-04-18,1.29,Awaiting Payment
194,Смородина,4221,129,Фрукты,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",2003-06-09,2024-06-01,3.25,Temporarily Unavailable
195,Роллы с мясом,7416,255,Мясо,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",1990-03-13,2011-01-04,0.9,Refunded
196,Чеддер,674,799,Молочные продукты,Прошел клинические испытания и рекомендован специалистами в области здравоохранения.,2006-01-10,2015-01-08,3.32,Pending
197,Персик,9069,842,Фрукты,Помогает поддерживать нормальный уровень эстрогенов у женщин.,2009-01-06,2013-08-03,3.24,Pending
198,Шампунь,1097,453,Товары для дома,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",2011-11-11,2025-05-01,3.42,Cancelled
